TaxaCode	Genus	Species	Total Of Abundance	2009-ARM1-5	2009-ARM1-8	2009-ARM1-9	2009-ARM2-4	2009-ARM2-5	2009-ARM2-8	2009-ARM2-9	2009-ARM3-4	2009-ARM3-5	2009-ARM3-8	2009-ARM3-9	2009-ARM4-4	2009-ARM4-5	2009-ARM4-8	2009-ARM4-9	2009-BAL1-4	2009-BAL1-5	2009-BAL1-8	2009-BAL1-9	2009-DRA1-4	2009-DRA1-5	2009-DRA1-8	2009-DRA1-9	2009-WHE1-4	2009-WHE1-5	2009-WHE1-8	2009-WHE1-9	2009-WHE2-4	2009-WHE2-5	2009-WHE2-8	2009-WHE2-9	2009-ZET1-4	2009-ZET1-5	2009-ZET1-8	2009-ZET1-9	2009-ZET2-4	2009-ZET2-5	2009-ZET2-8	2009-ZET2-9	2010-ARM1-10	2010-ARM1-11	2010-ARM1-14	2010-ARM1-15	2010-ARM2-10	2010-ARM2-11	2010-ARM2-14	2010-ARM2-15	2010-ARM3-10	2010-ARM3-11	2010-ARM3-14	2010-ARM3-15	2010-ARM4-10	2010-ARM4-11	2010-ARM4-14	2010-ARM4-15	2010-BAL1-10	2010-BAL1-11	2010-BAL1-14	2010-BAL1-15	2010-DRA1-10	2010-DRA1-11	2010-DRA1-14	2010-DRA1-15	2010-WHE1-10	2010-WHE1-11	2010-WHE1-14	2010-WHE1-15	2010-WHE2-10	2010-WHE2-11	2010-WHE2-14	2010-WHE2-15	2010-ZET1-10	2010-ZET1-11	2010-ZET1-14	2010-ZET1-15	2010-ZET2-10	2010-ZET2-11	2010-ZET2-14	2010-ZET2-15	2011-ARM1-16	2011-ARM1-17	2011-ARM1-20	2011-ARM1-21	2011-ARM2-16	2011-ARM2-17	2011-ARM2-20	2011-ARM2-21	2011-ARM3-16	2011-ARM3-17	2011-ARM3-20	2011-ARM3-21	2011-ARM4-16	2011-ARM4-17	2011-ARM4-20	2011-ARM4-21	2011-BAL1-16	2011-BAL1-17	2011-BAL1-20	2011-BAL1-21	2011-DRA1-16	2011-DRA1-17	2011-DRA1-20	2011-DRA1-21	2011-WHE1-16	2011-WHE1-17	2011-WHE1-20	2011-WHE1-21	2011-WHE2-16	2011-WHE2-17	2011-WHE2-20	2011-WHE2-21	2011-ZET1-16	2011-ZET1-17	2011-ZET1-21	2011-ZET2-16	2011-ZET2-17	2011-ZET2-20	2011-ZET2-21	2012-ARM1-22	2012-ARM1-23	2012-ARM1-26	2012-ARM1-27	2012-ARM2-22	2012-ARM2-23	2012-ARM2-26	2012-ARM2-27	2012-ARM3-23	2012-ARM3-26	2012-ARM3-27	2012-ARM4-22	2012-ARM4-23	2012-ARM4-26	2012-ARM4-27	2012-BAL1-22	2012-BAL1-23	2012-BAL1-26	2012-BAL1-27	2012-DRA1-22	2012-DRA1-23	2012-DRA1-26	2012-DRA1-27	2012-WHE1-22	2012-WHE1-23	2012-WHE1-26	2012-WHE1-27	2012-WHE2-22	2012-WHE2-23	2012-WHE2-26	2012-WHE2-27	2012-ZET1-22	2012-ZET1-23	2012-ZET1-26	2012-ZET1-27	2012-ZET2-22	2012-ZET2-23	2012-ZET2-26	2012-ZET2-27	2013-ARM1-28	2013-ARM1-29	2013-ARM1-32	2013-ARM1-33	2013-ARM2-28	2013-ARM2-29	2013-ARM2-32	2013-ARM2-33	2013-ARM3-28	2013-ARM3-29	2013-ARM3-32	2013-ARM3-33	2013-ARM4-28	2013-ARM4-29	2013-ARM4-32	2013-ARM4-33	2013-BAL1-28	2013-BAL1-29	2013-BAL1-32	2013-BAL1-33	2013-DRA1-28	2013-DRA1-29	2013-DRA1-32	2013-DRA1-33	2013-WHE1-28	2013-WHE1-29	2013-WHE1-32	2013-WHE1-33	2013-WHE2-28	2013-WHE2-29	2013-WHE2-32	2013-WHE2-33	2013-ZET1-28	2013-ZET1-29	2013-ZET1-32	2013-ZET1-33	2013-ZET2-28	2013-ZET2-29	2013-ZET2-32	2013-ZET2-33
LEARCN-22000001	Virbia	thersites	3																																																									1																																																																													1															1																																																
LEARCN-22000002	Amaxia	osmophora	24										1									1	1							3			1	1																											1								2									1			1		1																				1							1																											6		1																		1																																											
LEARCN-22000003	Scaptius	obscurata	198	1		2				1		1	2	6				1			1	1				3				4				1			4	1		3		10					2		1				1			1	2				1				1		2		3	7			1	4			1		4		4	1	1				2				1	1		4		1					1		1	1		1	2		1			1						3	2		3	1		1		2			2		2	2		1	4		5	1	1						4	2	3	4	1						2				2	1	1	1	5	1	2	1	3		2	1	4	1			1			1	5	2			2		5		3			1			1	1	1		2		4	2
LEARCN-22000004	Amaxia	apyga	277		1					2		1	2	10			2	1	2	2	3	4	2		3		1	1		7			1		2	2	2	3		4	3	6					1		2	1	4		2		4		2	3	2	1	3	2				3	1	1			2	1	1	6	2				5	1	4			6	1		1					1	2	1	1	6		2	17	2	4	4		2		1	4				1	1			1				3	3										2	2			9	2	1	7	3	2		2					4								4			3	4	2		1								3		1		1		2	7	1	1	5	3				4		1	2	3					1	2	1	5	1			
LEARCN-22000006	Melese	sixola sixola	302	1	4	4		1	4			2	4	15			1	4		1	6	7		3		3			21	5		4	11	1			4	4		2		10	1	1	2	1	1		4	7	3		7		1	1	2	3		1		4						1	9	2		1	7				2	5	3		4		2	1								6	2			4			5				4	1		1	2				2	5			3		1	3		2	1			1		2		4	1	2	2	2			1		2	1	1		1			1	2	1	2		1					2	6		2			3				2				1				1		1	2	1			1	3					1		1	1	1			2				1	2	1		
LEARCN-22000008	Virbia	orola	490	2				2	3		1	1					2	1	1	7	1	1				1	2	1	5	2		3	1				3			6			4	6	2		5	4	4	1	4		1	1	1	3	1	3	3	7	3	1	7	7	2		3	4	6		4		5	1	3		1	1	10	7	2	1	5	7	4		1		4		2	4	2		3	9	5		2	7	8	2		9	6	1	3	9	2	6	1	3	2	1	4			1	6	6			8		5	1	2	1		1			8	4	4	4		2	2	2	4	3	5	3		5	3	3	1	2		1	3	6			2	7	7	3	3	2				3	1		2	5		4	3	2	7	1	2	2	4	1	2	6	2	4		3	11	3	3	4	2	5	1	4	1			3		3
LEARCN-22000009	Virbia	mentiens	544		1	3	1		7	5		1	10	9		1	2	3		1	4	1			1	1		1	11	4		1	2	2			1			5		2	12	5	3		10	3	2		5				4	6	2	3		1	2		1	5		1	5	6	9	5		3	4	2	5	2	2	1	6	3	2	1		2	5	3	1	3	7	2	1	1	2	1	2	4	4			9	3	1		3	2	2	3	5	3	5	1	5	1	2	7	2	1		4	11	1	5	3	5	5	3	2	2	1	1	2	3	8		11	3	1	1	3	5	2	1	13	1	1	7	10	5			9	1	3	4	1	1		2	6	1				3		2	4	4	2		3	3	1		12	9	2	1	3	2		4	3	4		3	6	2	1	5	1	5		3	5	1	1	3	3	1
LEARCN-22000011	Elysius	sp. 1YB near ruffin (sp. nov.)	18															1				1				2								1								1															1							1																														1																				1																					2										1					1							1						1												1					1																				
LEARCN-22000013	Ormetica	sicilia	9																																												1																							1											1																									1						1									1					1																	1																																																						1			
LEARCN-22000016	Agaraea	sp. 1YB near venosa	51					1												1		1				2		1				2				1		1				1		1						1			1				1			1						1		2	1	2	1						1				2											1		1		1						1														1			1					1				2	1							1				1							1	1			1					1			1	1															1				2								2	1								1				
LEARCN-22000017	Idalus	aleteria	16																									1																																								1									1	4																					1									1																																														5						1	1																																							
LEARCN-22000018	Opharus	gemma	3									1								1																																													1																																																																																																																																							
LEARCN-22000021	Lophocampa	catenulata	2																																																																																1																												1																																																																																									
LEARCN-22000022	Tricypha	imperialis	18											1																		1																										1																								1									1				2	2											1	2										1	2							1																		1	1																																																							
LEARCN-22000024	Selenarctia	elissa	2																																						1																																						1																																																																																																																									
LEARCN-22000025	Melese	laodamia	8																										1		1																									1																											1																																1								1																														1			1																																												
LEARCN-22000028	Robinsonia	sp. 1YB near flavomarginata	3																												1																																																																																																												1																																																					1								
LEARCN-22000029	Leucanopsis	tabernilla	11							2												2												2								1																																																					1																																								1																																																												1					1
LEARCN-22000030	Idalus	critheis	15																															1												1							1																																											2				2							1																									2							2	1																			1																													1												
LEARCN-22000031	Idalus	sp.1YB near vitrea	5											1																																																															2																																												1																																		1																																													
LEARCN-22000032	Robinsonia	sanea	24																																			1									1						1			1	1									1	1		1					1			1															2								1									1	1														1														1			1																		2																		1			1			1								1									
LEARCN-22000033	Amaxia	carinosa	68											1																																				2	1						2									3								8				1	1		1		2									1							9			2	1				2				1			1	4	1		1		1						1											2									1											1							3								1				2		1	5	2				2									1							
LEARCN-22000034	Castrica	phalaenoides	1											1																																																																																																																																																																																										
LEARCN-22000035	Lophocampa	maroniensisDHJ03	4																											1																								1																																														1																		1																																																																																		
LEARCN-22000036	Robinsonia	deiopea	1																																																																												1																																																																																																																									
LEARCN-22000038	Halysidota	interlineata	3																																											1																					1																																1																																																																																																					
LEARCN-22000044	Ammalo	helops	7																																																													1																												1				3																							1																																											1																																						
LEARCN-22000045	Lophocampa	amaxiaeformis	15									1																																																		1								2				1																		2				1												1				2														1						1						2																																																														
LEARCN-22000046	Melese	incertus	11																																																																							1							1		2																3								2																		1																																																												1															
LEARCN-22000047	Cratoplastis	diluta	2																																																																																																																2																																																																																					
LEARCN-22000048	Purius	 pilumnia	1																																																																																												1																																																																																																									
LEARCN-22000049	Phaemolis	lineatusDHJ02	1																																																																																																									1																																																																																												
LEARCN-22000050	Lophocampa	sp. 4YB	2																																																																																					1																																																										1																																																						
LEARCN-22000051	Amaxia	sp. 6YB near but not osmophora	1																																																																																																																																				1																																																																	
LEARCN-22000053	Evius	hippia	1																																																																																																																															1																																																																						
LEARCN-22000054	Viviennea	tegyra	1																																																																																																																																																			1																																																		
LEARCN-22000055	Melese	asana	11																	1									1	1		1																			1					1									1								1		1																																																											1												1																																																						
LEARCN-22000056	Haemanota	sp. 1YB	71		1								7	1			1	1											3	1			2				1					5			1		2			1											1							1		1							1		1													1				1											2																				1	3		1	1	1			1		1		1						1	1											2		2	2	2			1									2						2	1					1		1	2								2	3			
LEARCN-22000057	Agaraea	minuta	11																																																																																																																																	1																																								1			3	1				2							1					1							1	
LEARCN-22000058	Echeta	sp. 1YB near pandiona	1																																																																																																																																					1																																																																
LEARCN-22000059	Thysanoprymna	hampsoni	2																																																																1		1																																																																																																																																			
LEARCN-22000060	Arctiinae unknown genus	sp. 1YB	1																																																																																																																																																																																														1							
LEARCN-22000061	Virbia	birchi	2																																											1																																																																																																				1																																																						
LEARCN-22000062	Agaraea	sp. 2YB	3																																																																																																																																																																				1																	1			1													
LEARCN-22000063	Melese	sp. 1YB	1																																																																																																																																																																																																					1
LEARCN-22000064	Viviennea	salma	1																																																																																																																																																										1																																											
LEARCN-22000065	Idalus	sp.2YB near vitrea	2																																																																			1																																																																													1																																																					
LEARCT-00000000	?	?	130																1				6				1					1								1			31	4	1		5	1			12	2								1									1		1	4		1					5	1				10			1	1				7				7				3	1		1				3	4	2						1			2	2											1					1																										1								1									1																						
LEARCU-00000000	?	?	1																																							1																																																																																																																																																														
LEARCU-22000002	Eucereon	aeolum	80	1		1			1								1																							1	1				1		1		3		2						4			1	1							1	3		1		3		2		2			1												3			1					2						1	1	2			1				1	4			1		1		2			1				2		1	2									2				3				1			1	1										1			1		1				1		1		1	1	1			1	1	1		1							2							
LEARCU-22000004	Heliura	banoca	5																																																																			1																																														1																													1																																							1				1												
LEARCU-22000006	Epidesma	sp. 1YB	2																																																																																																																																						1																				1																																											
LEARCU-22000007	Correbidia	BioLep03	11							1			1	1															1																								1						1																																																		1												1																																							1																			1																					1
LEARCU-22000009	Cosmosoma	sp. 11YB near remotum	10																		1																																				1			1							1					1							1																																																																			1																									1													1			1													
LEARCU-22000010	Rhynchopyga	cryptoleuca	1														1																																																																																																																																																																																							
LEARCU-22000011	Cosmosoma	saron	27		2				1	1		1	1														1							1										1						1					1								2		1													1					1									1																1																											1															1	1					1																												1					1	1		2								
LEARCU-22000013	Phoenicoprocta	paucipuncta	12										2																					2																																						1																				1																							1																																																						2									1												2										
LEARCU-22000014	Macrocneme	cabimensis	5																																																									1								3																																																																																																																									1											
LEARCU-22000015	Hypocladia	restricta	661	1	2	1	2	2	2	1		5	4	8			4	1		3	4		1	2		1		1	5	1		9	2	1		5	4	1	2	3	1	9	4	7	2	1	10	1	3		6	2	8		1	4	1	3	9		7	1	2	3	3	1	12	2	3	2	12	8	4	1	3	3	7	1	7	9	3	1	3	8			6	2	1	2	2	6	4		2	10		1	2	3	4		2	7	1	1	4	12	3		1	5		2	4	2	3	5	8	1		2	5	2		12	3	2	3	4	1		6	2	5	2	16	5	6	3	3	3	1	2	7	12	3	2	5	7	2	1	5	1	4		5	4	6	1	3	4	3	3	5	4	2	1	6	3	5		6	2	3	1	8	8	7	8	2	5	4	2	4	7	2	1	4	5	1	1	2	6	3	1	6	2	5	1
LEARCU-22000016	Psoloptera	thoracicaDHJ03	18																		2												1																6																														1													1															1																			1											1																																2																		1		1											
LEARCU-22000017	Episcepsis	venata	5																																						1																									1																																		1																																																																																									1				1							
LEARCU-22000018	Leucopleura	ciarana	214		1		1					3	2	1	1		2	4		3	1	1	1		1		1	1	2			2	3			1	1		1	3		2					1				5				3	3		1	1	1	1	3		2			2	2	1		2	1	1		3	1			12	3	2		1	1								2				12			1			2	3					2			2	9						1	6		1					1				1				1	1		8				6	2		1	1	5			1	5	1	1	1	2			2	2				2							6		2		6			1			1	2		1		1	2				9	2		3	1							
LEARCU-22000020	Eucereon	aurantiaca	5																																																				1																													1											1	1														1																																																																																										
LEARCU-22000022	Cosmosoma	teuthras	21											1																																																																				1	1	1				2				1											1					2								1			1										1									1	1									1														1							2								1															1								
LEARCU-22000023	Heliura	sp. 1YB	85									1				1				1						1				1						1															1		1		1	1	1		1		1							1			1								2	2												2	3			2			1	5	2			1			2	3	1			1						1	4			1				1							3			1	3	1	1			1			2	3	1		1	1					1				1					4						1					1	1	1		1	1					2				1	1							2			
LEARCU-22000024	Sarosa	mora	25									1																					1		1																				2							2								1					2				1													2															1	3							4			1	1																																			1																															1															
LEARCU-22000025	Gymnelia	salvini	42																									1				1				1							1								3				1				1					1						1	2				1				2				1													1								1			3	3							1			1																			1									1				1	2						1				1								2				2																2								2			
LEARCU-22000026	Calonotos	metallicus	1																									1																																																																																																																																																																												
LEARCU-22000027	Calonotos	sp. 2YB	9								1																																								1																																	1																								2				1																																													1												1																												1			
LEARCU-22000028	Loxophlebia	sp. 1YB near but not imitata	3																													1																																																											1																																																																						1																																							
LEARCU-22000029	Aclytia	punctata	23				1		1																								1	1				1											1												1								1					2																1		1								2				1							1										1																	1	1							1										1								1																								1												
LEARCU-22000030	Delphyre	sp. 2YB	5																																					1																																																																																																																																											1	1			1									1								
LEARCU-22000031	Napata	quadristigata	1																								1																																																																																																																																																																													
LEARCU-22000033	Saurita	sp. 1YB near sanguinea	12										1				1																																										2								1																								1																					2				1						1																							1																							1																																
LEARCU-22000034	Hypocharis	sp. 1YB	203		1								2	1			3	3			8	4							7	1							1										4		2	3	4		5	8	1	1	1	2	2	1	2	1		1			4	1	2	2	1								2	1	3								2				4	1		2			3		1	5	2			1						3	2	1	2		1			1						3		2			4	3		1	2		2								1			1				2						1		1							2	1	6		2	2	1		1	4	1	1	4	6				3	1		3	6	2			4							7	7
LEARCU-22000035	Correbidia	costinotata	55						1	1			1				1				1	2				2							1					1									1		1				2	1			1				1	2			1				1	2					1				2				2																							1		1						1									1			2		1	2											1				1			1		1										1		1				1						1	1	1				1										1	1								3				1
LEARCU-22000036	Correbia	sp. 3YB near elegans	7																																						1																																																																	1																							1																			1																								1	1							1																				
LEARCU-22000037	Pterygopterus	caeruleus	10																														1																		1											1																									1																				1																																																									2					2																1															
LEARCU-22000038	Episcepsis	Espinoza03	19																														1													1			1						1				1																						1															1				1														1			2		1																					1							1	1																1			1					1							1																					
LEARCU-22000040	Eucereon	sp. 18YB near obscurum	9						1					1																							1																														1								2																																	1			1				1																																																																																					
LEARCU-22000041	Poliopastea	auripes	8														1																																	1																							1																			1								4																																																																																																				
LEARCU-22000042	Ecdemus	obscurata	45							1				3			2	5				1												1			1					1									3				1	2			3											1			1		1	1		2		1	1										1					3								1															1												1				2																								1		1																		1									1												
LEARCU-22000045	Cosmosoma	metallescens	25																																		1						1				1									1			1							1																					1					1								1								3				1			1				1							2																1								1		1					1							1					1				1						1																					
LEARCU-22000046	Saurita	watsoni	1														1																																																																																																																																																																																							
LEARCU-22000048	Aclytia	heberDHJ01	22										1									1											1									1						1		1	1				1						1					1								1					1					1				1											1	1												1									1					1									1																																		1											1																				
LEARCU-22000049	Belemnia	inaurata	2										2																																																																																																																																																																																											
LEARCU-22000050	Eucereon	sp. 9YB near meridionalis	9						1																																1						1														1																				1																																													1														1	1																																1																											
LEARCU-22000053	Agyrta	sp. 1YB	6														1																																								1													1																																										1							1												1																																																																					
LEARCU-22000055	Chrysostola	moza	6											2																																																																														1																										1																				1																										1																																				
LEARCU-22000056	Ctenuchinae	sp. 1YB	1															1																																																																																																																																																																																						
LEARCU-22000058	Argyroeides	notha	1											1																																																																																																																																																																																										
LEARCU-22000059	Cosmosoma	caecum	12																																							1									1																						1				1																1							1								1								2																										1																																			1				1																			
LEARCU-22000060	Pheia	elegans	1											1																																																																																																																																																																																										
LEARCU-22000061	Eucereon	varia	13																		1																						1																																				1											1					1																							1															1																																1				1		1						1	1			1																			
LEARCU-22000062	Eucereon	sp. 12YB near obscurum	1																																												1																																																																																																																																																									
LEARCU-22000063	Aclytia	albistriga	1																																												1																																																																																																																																																									
LEARCU-22000064	Correbia	sp. 4YB near undulata	1																																																																				1																																																																																																																																	
LEARCU-22000065	Uranophora	walkeri	5																																												1										1																																							1												1																																																																								1																				
LEARCU-22000067	Saurita	mora	4																																																																								1																	1																				1																																	1																																																							
LEARCU-22000068	Cosmosoma	sp. 16YB	15																																																					1								1				1											1	1							1	1				1			1																															1																										1										1			1																								1				1							
LEARCU-22000070	Gymnelia	jansonis	2																																												1																																																																																																																										1																															
LEARCU-22000071	"Episcepsis
hypoleuca"	hypoleuca	17																																												1										1														1			1	1		1	1									1								1				1				1												2																																							2															1																1															
LEARCU-22000077	Pheia	albisigna	1																																																																													1																																																																																																																								
LEARCU-22000079	Heliura	rhodophila	3																																																		1							1																																																1																																																																																												
LEARCU-22000080	Poliopastea	Janzen04	13																																																																3					1																																1			1	1				1						2																											1								1																1																															
LEARCU-22000082	Saurita	anselma	9																																																													1															1																													1											1							1																																											1																			1		1			1							
LEARCU-22000083	Delphyre	testacea	7				1																	1				1														1																															1																																																																									1												1																																										
LEARCU-22000087	Eucereon	sp. 14YB	3																																																																						1																																																																			1																								1																																				
LEARCU-22000088	Eucereon	sp. 15YB	3																																																						1									1																																																																																																																																						1
LEARCU-22000089	Dycladia	emeritaDHJ03	1																																																																																																				1																																																																																																	
LEARCU-22000090	Metaxanthia	atribasis	1																																																																																																																			1																																																																																		
LEARCU-22000091	Uranophora	leucotelus	1																																																																																																																1																																																																																					
LEARCU-22000092	Gymnelia	colona	2																																																																																								1	1																																																																																																												
LEARCU-22000093	Myrmecopsis	laticinctus	1																																																																																				1																																																																																																																	
LEARCU-22000094	Napata	flaviceps	1																																																																																																					1																																																																																																
LEARCU-22000095	Eucereon	atrigutta	1																																																																																																													1																																																																																								
LEARCU-22000096	Chrysostola	Espinoza02	3																																																																																									1																																																					1																																	1																						
LEARCU-22000097	Loxophlebia	omalesia	1																																																																																																																				1																																																																																	
LEARCU-22000098	Episcepsis	sp. 3YB	2																																																																																																													1																																																																								1																
LEARCU-22000099	Eucereon	relegatum	1																																																																																											1																																																																																																										
LEARCU-22000100	Eucereon	sp. 17YB	1																																																																																																																											1																																																																										
LEARCU-22000103	Correbia	sp. 5YB	6																																																																																																																																																																									3																1				1	1							
LEARCU-22000104	Correbia	sp. 6YB	1																																																																																																																																																																																	1																				
LEARCU-22000105	Near Episcepsis	sp. 1YB	1																																																																																																																																																																																													1								
LEARCU-22000106	Heliura	tetragramma	1																																																																																																																																														1																																																							
LEARCU-22000107	Eucereon	rosadora xanthodoraDHJ01	1																																																																																																																																																										1																																											
LEARCU-22000108	Episcepsis	BioLep04	1																																																																																																									1																																																																																												
LEARCU-22000109	Episcepsis	thetisDHJ04	1																																																															1																																																																																																																																						
LEARCU-22000110	Episcepsis	sp. 4YB	1																																																																											1																																																																																																																										
LEARCU-22000111	Correbia	elegans	1																																						1																																																																																																																																																															
LEARCU-22000112	Saurita	Janzen33	1																																													1																																																																																																																																																								
LEARLI-00000000	?	?	48	1							1	4	7				1	1	3	7			2				1	4			1	3	1							6			2																1																				2																																																																																																																									
LEARLI-22000001	Agylla	sp. 1YB	376		4	3			3	3			5	3			1					4				5			2	5				3			1	1				3	12	3		1	3	1			9	3	1		6	7				3			8			1		2	2		1	1		2	5	2	1		1	2			1	3	1		3	6			3	12	2			12	1		2	13			1	2			7	13	3	1		4				3			3	1		1	1	3			2	1	1	1			6	3	1	2	1	2	2			1	1	1		1			2	1				3	3		1	3			1	2		2	1	2	3	1	3	2	3	1	5	2	4	2	4	12	4		2		3	3	2	5	2	1		11		7	1	4	4	2	2	4	5	
LEARLI-22000003	Prepiella	pexicera	1963		2	3			2	1		2	7	10			4	1			4	4				4			17			1	2	4			2					11	5	51	2		10	10		2	5	74	1	1	5	154	8	5	11	51	6		3	87	1	2	33	83	1	1	11	126	1	5	7	38	1	2	15	111	4		3	5	6		13	5	2	8	7	20	13	3	4	12	1	1	3	19	12		2	23	6	2	4	26	8	1	5	34	5	1	5	3	1	7	19	4	4	12	16	4		5	17	1		27	7		2	17	11	7	11	48	2	1	12	14		2	3	92	17		6	26	8		20	23	1	1	10	7	7		7	7	8	1	12	16	6	1	11	6	9	4	4	3	10	2	4	21	5	2	1	11	1	5		12	5	2	2	5		5	5	1	4		2	6	9	
LEARLI-22000004	Gaudeator	paidicus	430		3			2	5			2	3	3			1	2		2	3			1					4			2	3	2			2	1			1	2	5				5	1	1		2	7	6		2	2	1		7	3	4	1	1	3	1		5	3	2			7			1	1			3	10		2	3	4	2		8	4	4		1	10	2	2	3	7	2		3	8				5	3		5	18	3		3	6		1	1	3		2	6				2		1	3	8	2	1	3		1	6	1	2		3	12	2		1	3		2	2	5	1	5	1	6	3		3				5	1	2		9	1	2	3	9	3	1		5	3	4				1	1	6	1	3	2	4		1	2	4	3	2		7	4	1	1	4	1			5			1
LEARLI-22000005	Talara	sp. 1YB	108		1				1				1	2				4				1							1				1					1					1		1		1		1					2		4			1	1				1	1			1	4			2		1	2		1	1	1	1					1		2				1		3				1	5	1		1			1	2	1		2				4						2			3	1											5		2										1												2								2				4		2		1		1		5	1											2		1	2	1				1		3	
LEARLI-22000006	Agylla	BioLep05	845	1					1	1												1				2																1	7	4		1	3	1	2	5	6	7	3	1	7	19		1	3	10	1		4	3		4	21	11	1	2	1	6	1		6	2		1	27	20	4	1	15	17		1	20	8		2	4	42	2		3	51	1		8	5	2		5	9	2		11	53		1	10	18	2		3	13	1	16	25	4			12	7	1	1	1	6	15	8	2	3		7	5	1	2		8	1		1	3	2	6	18	6	6		4	4	5		5	4	5	1	1		1	7	4	1		4	4	5		10	7	1		9	5	3	1		11	3	2	1		1		2	5	1		7	13			7	4	1		8	7		2
LEARLI-22000008	Talara	sp. 5YB	6																				1																																																																1																																			2																																													2																																	
LEARLI-22000009	Illice	sp. 2YB	7																								2																																									1				1																																																																					1				1								1																																															
LEARLI-22000010	Odozana	sp. 2YB near floccosa	23										2													1			1								2																																					3													1					1						2	1													6	1		1	1																																																																																				
LEARLI-22000012	Lycomorphodes	sordida	76	1									2					2		1													1	1								1			1	3			1				1			1	1		1			1			1	2	2			2				2				1	1			2					3	1	1		3		4					2	1	1							2	1	2			1					1	1	1	1		1							1			3			1										1														1													2			1	1			2					1			1		1			1								
LEARLI-22000013	Rhabdatomis	cora	58		1				2	1				6				2								2			4				3				1					2	2		1												3				1		1		1									2								1	1				3						2				1	1									1		1	1		1			1					1	2								1			1			1																								2																																					1				
LEARLI-22000014	Nodozana	sp. 1YB	2															1																			1																																																																																																																																																																			
LEARLI-22000018	Talara	sp. 4YB, near but not esperanza	49										1					2				1							1				1									2		2			1	1	1	1			2		1				1	1	1		1	1			3					4	2			1	2			3									1	1	1		4																						1																	2																																		1																														1				
LEARLI-22000019	Illice	sp. 1YB near croesus	15							1												1												1																								1																																	1	1																															1										1																																1								1		1			3													1									
LEARLI-22000021	Callisthenia	sp. 1YB	9																			1																																									1											2																								3									2																																																																																													
LEARLI-22000022	Agylla	sp. 4YB	23																																							1							1	1												1				2			3					1	1				2		3	1					3				1								1																			1																																																																																		
LEARLI-22000023	Epeiromulona	sp.1YB (phelina or biloba)	27																																									1		1	2				1					1			1								2		1																			1					2																1																						1	2															1																		4				3							1											1													
LEARLI-22000025	Euthyone	grisescens	8																																																			1													1								1																	1															1											1														1																																															1																					
LEARLI-22000027	Balbura	intervenata	261		1					2			1	1				6			1	2				5	1			3				7			2	2	1			7	4		1			3	1	4	1		1	1			1	4	1		2	5		1	1	2	1		2	5			4	13				6	2			7	10	1			17		1		7			3	1	2	2	1	7		2	3	3			3	14			2	3		1	1	9		2	4		2					1				2			1				2						1		2		3		2				1							2					3					3										1	7				1	2		2					2	1				2	2	1	1
LEARLI-22000028	Balbura	dorsisigna	185						1				2				3				1	2					1		2				3	1			1	1				2		2	3		2						1		1	1				1	1							1												1	1	1	2				2		3		1	6	5	3		6			2	1	2	1	1	1			1	7	1		1	4						5	13	3		1	1					2				1			4			2	2								1	1				1			1				2		1	1	2	3			1	1	2		1	2		1	2	6	1		1	1			1	2	4	1	6	3	2	1		2	1		3				5	2
LEARLI-22000029	Metallosia	sp.1YB	11																																												1																						1										1														1						1					1								1																					1																				1														1										1																							
LEARLI-22000030	Talara	cara	28														2													1															1		1						1											1			2	1				1															1			1			5						1	1									1	1							1																		2																				1								1																								1													
LEARLI-22000031	Talara	sp. 3YB	10	1													1																														1																																													2												1				1		1		1																																								1																																																
LEARLI-22000032	Callisthenia	sp. 2YB	31						3				1				1																1				1										1				3						2									1								2					2									2											2					2								1		3	2						1																																																																															
LEARLI-22000033	Lithosia	caecina	15																																														1																																																															1						1		1									1						5														2										2												1																													
LEARLI-22000035	Lithosiini_genus	sp. 12YB	12														1																																																	1								1				1															1	1											1			1								1		1		1																																																															1																	
LEARLI-22000036	Euthyone	sp. 1YB	2																																																																																				1																1																																																																																																	
LEARLI-22000037	Metallosia	nidens	2																																																																																1																								1																																																																																													
LEARLI-22000038	Dolichesia	sp.1YB	5																																										1													1																																												1		1										1																																																																																						
LEARPE-22000002	Dysschema	perplexa	35				1										1				1					1	1		4				4	2							1	1	1								2		1		1			1									2																																								1																												1												2								1													1								1												1				1				1				
LEARPE-22000004	Hyalurga	urioides	22									1	1								1															1											1												1				1									1												1			1												1	1			1									1																					1				1								1								1									1	1																1																				1	
LEARPE-22000005	Chetone	angulosa	1																																																																																																																																																																																																	1				
LEARPE-22000006	Hyalurga	fenestra	7																															1																				1																1																																							1										1																1																																																																	1
